"Submission ID","Authors",
"1002","Arianna Bisazza and Clara Tump",
"1009","Xu Han, Pengfei Yu, Zhiyuan Liu, Maosong Sun and Peng Li",
"1017","Saku Sugawara, Kentaro Inui, Satoshi Sekine and Akiko Aizawa",
"1020","Guanying Wang, Wen Zhang, Ruoxu Wang, Yalin Zhou, Xi Chen, Wei Zhang, Hai Zhu and Huajun Chen",
"1021","Zi-Yi Dou, Zhaopeng Tu, Xing Wang, Shuming Shi and Tong Zhang",
"1024","Jian Li, Zhaopeng Tu, Baosong Yang, Michael R. Lyu and Tong Zhang",
"1026","Baosong Yang, Zhaopeng Tu, Derek F. Wong, Fandong Meng, Lidia S. Chao and Tong Zhang",
"1031","Daniel Watson, Nasser Zalmout and Nizar Habash",
"1036","Edoardo Maria Ponti, Ivan Vulić, Goran Glavaš, Nikola Mrkšić and Anna Korhonen",
"1037","Su Wang, Eric Holgate, Greg Durrett and Katrin Erk",
"1039","Xingyi Song, Johann Petrak and Angus Roberts",
"1041","Desmond Elliott",
"1048","Changzhi Sun, Yuanbin Wu, Man Lan, Shiliang Sun, Wenting Wang, Kuang-Chih Lee and Kewen Wu",
"1050","Anoop R Katti, Christian Reisswig, Cordula Guder, Sebastian Brarda, Steffen Bickel, Johannes Höhne and Jean Baptiste Faddoul",
"1052","Hiroki Ouchi, Hiroyuki Shindo and Yuji Matsumoto",
"1056","Jiatao Gu, Yong Wang, Yun Chen, Victor O. K. Li and Kyunghyun Cho",
"1059","Akira Utsumi",
"1068","Feifan Fan, Yansong Feng and Dongyan Zhao",
"1069","Marzieh Fadaee and Christof Monz",
"1071","Hou Pong Chan and Irwin King",
"1080","Amrith Krishna, Bishal Santra, Sasi Prasanth Bandaru, Gaurav Sahu, Vishnu Dutt Sharma, Pavankumar Satuluri and Pawan Goyal",
"1085","Shachar Mirkin, Guy Moshkowich, Matan Orbach, Lili Kotlerman, Yoav Kantor, Tamar Lavee, Michal Jacovi, Yonatan Bilu, Ranit Aharonov and Noam Slonim",
"1090","Shashi Narayan, Shay B. Cohen and Mirella Lapata",
"1093","Yerai Doval, Jose Camacho-Collados, Luis Espinosa Anke and Steven Schockaert",
"1094","Pinal Patel, Disha Davey, Vishal Panchal and Parth Pathak",
"1095","Koustuv Sinha, Yue Dong, Jackie Chi Kit Cheung and Derek Ruths",
"1098","Jieyu Zhao, Yichao Zhou, Zeyu Li, Wei Wang and Kai-Wei Chang",
"1099","Yiqun Yao, Jiaming Xu, Feng Wang and Bo Xu",
"1100","Srinivasan Iyer, Ioannis Konstas, Alvin Cheung and Luke Zettlemoyer",
"1104","Ali Emami, Noelia De La Cruz, Adam Trischler, Kaheer Suleman and Jackie Chi Kit Cheung",
"1107","Jiali Zeng, Jinsong Su, Huating Wen, Yang Liu, Jun Xie, Yongjing Yin and Jianqiang Zhao",
"1110","Mingming Sun, Xu Li and Ping Li",
"1111","Yi Yang",
"1116","Sebastian Ruder, Ryan Cotterell, Yova Kementchedjhieva and Anders Søgaard",
"1117","Martin Schmitt, Simon Steinheber, Konrad Schreiber and Benjamin Roth",
"1120","Zhiqing Sun and Zhi-Hong Deng",
"1124","Armand Joulin, Piotr Bojanowski, Tomas Mikolov, Hervé Jégou and Edouard Grave",
"1127","Ashutosh Baheti, Alan Ritter, Jiwei Li and Bill Dolan",
"1128","Zuchao Li, Shexia He, Jiaxun Cai, Zhuosheng Zhang, Hai Zhao, Gongshen Liu, Linlin Li and Luo Si",
"1129","Gongbo Tang, Mathias Müller, Annette Rios and Rico Sennrich",
"1134","Manaal Faruqui, Ellie Pavlick, Ian Tenney and Dipanjan Das",
"1138","Mohsen Mesgar and Michael Strube",
"1147","Carlos Gómez-Rodríguez and David Vilares",
"1150","Liane Guillou and Christian Hardmeier",
"1156","Hardy Hardy and Andreas Vlachos",
"1161","Peter Makarov and Simon Clematide",
"1172","Niket Tandon, Bhavana Dalvi, Joel Grus, Wen-tau Yih, Antoine Bosselut and Peter Clark",
"1174","Ali Elkahky, Kellie Webster, Daniel Andor and Emily Pitler",
"1175","Douwe Kiela, Changhan Wang and Kyunghyun Cho",
"1176","Chenze Shao, Xilin Chen and Yang Feng",
"1177","Xiao Liu, Zhunchen Luo and Heyan Huang",
"1181","Sebastian Gehrmann, Yuntian Deng and Alexander Rush",
"1186","Ryan McDonald, George Brokos and Ion Androutsopoulos",
"1190","Ella Rabinovich, Benjamin Sznajder, Artem Spector, Ilya Shnayderman, Ranit Aharonov, David Konopnicki and Noam Slonim",
"1192","Yizhu Liu, Zhiyi Luo and Kenny Zhu",
"1195","Guillaume Lample, Myle Ott, Alexis Conneau, Ludovic Denoyer and Marc'Aurelio Ranzato",
"1198","Vlad Niculae, André F. T. Martins and Claire Cardie",
"1213","Semih Yagcioglu, Aykut Erdem, Erkut Erdem and Nazli Ikizler-Cinbis",
"1217","Sven Buechel, Anneke Buffone, Barry Slaff, Lyle Ungar and Joao Sedoc",
"1220","Nishant Kambhatla, Anahita Mansouri Bigvand and Anoop Sarkar",
"1221","Sarthak Jain, Edward Banner, Jan-Willem van de Meent, Iain J Marshall and Byron C. Wallace",
"1229","Jiaji Huang, Yi Li, Wei Ping and Liang Huang",
"1231","Shirley Anugrah Hayati, Raphael Olivier, Pravalika Avvaru, Pengcheng Yin, Anthony Tomasic and Graham Neubig",
"1232","Hoang-Quynh Le, Duy-Cat Can, Sinh T. Vu, Thanh Hai Dang, Mohammad Taher Pilehvar and Nigel Collier",
"1234","Wenhan Xiong, Mo Yu, Shiyu Chang, Xiaoxiao Guo and William Yang Wang",
"1235","Junyang Lin, Qi Su, Pengcheng Yang, Shuming Ma and Xu Sun",
"1236","Wayne Xiong, Lingfeng Wu, Jun Zhang and Andreas Stolcke",
"1237","Clara Vania, Andreas Grivas and Adam Lopez",
"1241","Xinnuo Xu, Ondřej Dušek, Ioannis Konstas and Verena Rieser",
"1247","Gabriel Stanovsky and Ido Dagan",
"1248","Junyang Lin, Xu Sun, Xuancheng Ren, Muyu Li and Qi Su",
"1257","Melissa Ailem, Bowen Zhang, Aurélien Bellet, Pascal Denis and Fei Sha",
"1261","Tao Yu, Michihiro Yasunaga, Kai Yang, Rui Zhang, Dongxu Wang, Zifan Li and Dragomir Radev",
"1262","Tao Yu, Rui Zhang, Kai Yang, Michihiro Yasunaga, Dongxu Wang, Zifan Li, James Ma, Irene Li, Qingning Yao, Shanelle Roman, Zilin Zhang and Dragomir Radev",
"1267","Samuel Läubli, Rico Sennrich and Martin Volk",
"1268","Baiyun Cui, Yingming Li, Ming Chen and Zhongfei Zhang",
"1270","Ana Gonzalez, Isabelle Augenstein and Anders Søgaard",
"1276","Ieva Staliūnaitė, Hannah Rohde, Bonnie Webber and Annie Louis",
"1286","Nafise Sadat Moosavi and Michael Strube",
"1293","Yang Gao, Christian M. Meyer and Iryna Gurevych",
"1297","Mareike Hartmann, Yova Kementchedjhieva and Anders Søgaard",
"1301","Daniela Gerz, Ivan Vulić, Edoardo Maria Ponti, Roi Reichart and Anna Korhonen",
"1305","Elvis Saravia, Hsien-Chi Toby Liu, Yen-Hao Huang, Junlin Wu and Yi-Shin Chen",
"1307","Rob van der Goot and Gertjan van Noord",
"1309","Pierre-Emmanuel Mazare, Samuel Humeau, Martin Raison and Antoine Bordes",
"1322","Yue Dong, Yikang Shen, Eric Crawford, Herke van Hoof and Jackie Chi Kit Cheung",
"1324","Logan Lebanoff, Kaiqiang Song and Fei Liu",
"1331","Pouya Pezeshkpour, Liyan Chen and Sameer Singh",
"1340","Logan Lebanoff and Fei Liu",
"1344","Matthew Berger, Ajay Nagesh, Joshua Levine, Mihai Surdeanu and Helen Zhang",
"1351","Nikolay Bogoychev, Kenneth Heafield, Alham Fikri Aji and Marcin Junczys-Dowmunt",
"1355","Longyue Wang, Zhaopeng Tu, Andy Way and Qun Liu",
"1358","Zhuang Ma and Michael Collins",
"1362","Hai Ye and Lu Wang",
"1367","Eva Vanmassenhove, Christian Hardmeier and Andy Way",
"1369","Aaron Steven White, Rachel Rudinger, Kyle Rawlins and Benjamin Van Durme",
"1373","Miryam de Lhoneux, Johannes Bjerva, Isabelle Augenstein and Anders Søgaard",
"1375","Sanket Vaibhav Mehta, Jay Yoon Lee and Jaime Carbonell",
"1376","Barbara Plank and Željko Agić",
"1379","Shengli Hu",
"1392","Parnia Bahar, Christopher Brix and Hermann Ney",
"1393","Kristina Gulordava, Laura Aina and Gemma Boleda",
"1398","Sheng Zhang, Xutai Ma, Rachel Rudinger, Kevin Duh and Benjamin Van Durme",
"1406","David Alvarez-Melis and Tommi Jaakkola",
"1410","Natalie Schluter and Daniel Varab",
"1411","Guanghui Qin, Jin-Ge Yao, Xuening Wang, Jinpeng Wang and Chin-Yew Lin",
"1434","Tanmoy Mukherjee, Makoto Yamada and Timothy Hospedales",
"1435","Xiaolei Huang, Lixing Liu, Kate Carey, Joshua Woolley, Stefan Scherer and Brian Borsari",
"1436","Yedid Hoshen and Lior Wolf",
"1439","Yuan Zhang, Jason Riesa, Daniel Gillick, Anton Bakalov, Jason Baldridge and David Weiss",
"1440","Hongyin Luo and Jim Glass",
